"Line","Fhb1","1RS:1AL","Lr34/Yr18","Sr24/Lr24","Tamyb10-B1","Tamyb10-D1","Fhb_3B_MASSEY","Yr15","Lr42","Glu-D1","Ppd-B1_CS","Glu-A1","Vrn-A1b","H13","H13b","TaELF3-B1","TaELF3-D1","Lr37/Yr17/Sr38","Lr13/Ne2m","Fhb_2B_Bess","TaSus2-2B","Sr36/Pm6","Ppd-D1_Norstar_deletion","PHS_3A","Tamyb10_N17_INS","Tamyb10-A1","Yr5","Sr12","Lr67","vrn-A1_MTA","Vrn-A1a","Tsn1","vrn-B1","Vrn-B1","Pinb-D1","Vrn-D1","TaGW2","Rht24","Pm54","Sr6D","7AL_grain_length/weight","Sr22_or_Pm37","Lr68","Lr19/Sr25","Bdv2/3","Vrn-B1c","Fhb7"
"2024-BIGSIX-111","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","het","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","non-Lr37/Yr17/Sr38","Lr13/Ne2m_het","Fhb_2B_Bess_het","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","UNIDENTIFIED","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","Lr68_het","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-112","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","UNIDENTIFIED","longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-113","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b",NA,"non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1",NA,"Rht24a","non-Pm54","UNIDENTIFIED","longer/heavier","UNIDENTIFIED","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-114","Fhb1_het","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","UNIDENTIFIED","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","UNIDENTIFIED","UNIDENTIFIED","UNIDENTIFIED","UNIDENTIFIED","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-115","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white",NA,"non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","UNIDENTIFIED","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A",NA,"R-A1","non-Yr5","non-Sr12","Lr67_het","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","UNIDENTIFIED","UNIDENTIFIED","longer/heavier","UNIDENTIFIED","Lr68_het","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-116","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b",NA,"non-H13b","ELF3-B1_early","non-ELF3-D1_early","UNIDENTIFIED","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","Lr67_het","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","UNIDENTIFIED","longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-117","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b",NA,"non-H13b","ELF3-B1_early","non-ELF3-D1_early","UNIDENTIFIED","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","UNIDENTIFIED","UNIDENTIFIED","longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-118","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","UNIDENTIFIED","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-119","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","non-Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion",NA,"non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","UNIDENTIFIED","longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-120","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax2","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","Lr13/Ne2m","Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","UNIDENTIFIED","longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-121","Fhb1_het","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","non-Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-122","Fhb1_het","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax2","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion",NA,"non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","Lr68_het","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-123","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","het","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","Lr37/Yr17/Sr38_het","Lr13/Ne2m","Fhb_2B_Bess_het","TaSus2-2B_het","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","UNIDENTIFIED","non-Sr22_or_Pm37",NA,"UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-124","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","non-Lr37/Yr17/Sr38","Lr13/Ne2m","Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-125","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","non-Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion",NA,"non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","UNIDENTIFIED","longer/heavier","non-Sr22_or_Pm37","Lr68_het","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-126","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","UNIDENTIFIED","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","non-Lr37/Yr17/Sr38","Lr13/Ne2m","Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-127","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","UNIDENTIFIED","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","non-Lr37/Yr17/Sr38","Lr13/Ne2m","Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion",NA,"non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","UNIDENTIFIED","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-128","Fhb1_het","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","UNIDENTIFIED","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-129",NA,"non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38",NA,"non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion",NA,"non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b_het","non-Pm54","UNIDENTIFIED","longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
